Category,Test ID,User Story ID,Test Case Name,API Endpoint,HTTP Method,Test Type,Priority,Pre-Conditions,Request Headers,Request Body,Expected Status Code,Expected Response Fields,Test Steps,Validation Points,AUTOMATED
TestCase2: Authentication,TC-AUTH-008,US-AUTH-004,Verify token refresh with valid refresh token,/api/refresh,POST,Functional,High,User logged in with refresh token,Content-Type: application/json,"{""refresh_token"": ""<valid_refresh_token>""} used what stored in TC-AUTH-007",200,success=true | message='Token refreshed successfully' | token,1. Use valid refresh token | 2. Send POST to refresh | 3. Verify new token returned,Status code is 200 | Response is valid JSON | success is true | message is 'Token refreshed successfully' | New token present | New token is valid JWT,y
TestCase2: Authentication,TC-AUTH-009,US-AUTH-004,Verify refresh fails with invalid token,/api/refresh,POST,Negative,High,None,Content-Type: application/json,"{""refresh_token"": ""invalid_token""}",401,success=false | error='Invalid or expired refresh token',1. Send POST with invalid token | 2. Verify error,Status code is 401 | Response is valid JSON | success is false | error indicates invalid token,y
TestCase2: Authentication,TC-AUTH-010,US-AUTH-004,Verify refresh fails without refresh token,/api/refresh,POST,Negative,Medium,None,Content-Type: application/json,{},400,"success=false | ""error"": ""Refresh token is required"",",1. Send POST without refresh token | 2. Verify error,Status code is 400 | Response is valid JSON | success is false | error indicates missing token,y
TestCase3: Users,TC-USER-001,US-USER-001,Verify admin can list all users,/api/users,GET,Functional,High,Admin logged in,Authorization: Bearer <admin_token>,None,200,success=true | data=[users] | count,1. Login as admin | 2. Send GET request | 3. Verify user list,Status code is 200 | Response is valid JSON | success is true | data is array | count matches data length | Each user has id/email/name/is_admin/created_at/address/phone | At least one user exists,y
TestCase3: Users,TC-USER-002,US-USER-001,Verify non-admin cannot list users,/api/users,GET,Security,High,Regular user logged in,Authorization: Bearer <user_token>,None,403,"success=false |   ""error"": ""Admin privileges required""",1. Login as regular user | 2. Send GET request | 3. Verify access denied,Status code is 403 | Response is valid JSON | success is false | error indicates admin required,y
TestCase3: Users,TC-USER-003,US-USER-001,Verify list users fails without authentication,/api/users,GET,Security,High,No authentication,None,None,401,"""error"": ""Token is missing""",1. Send GET without token | 2. Verify auth error,Status code is 401 | Response is valid JSON | success is false | error indicates authentication required,y
TestCase3: Users,TC-USER-004,US-USER-002,Verify admin can get user by ID,/api/users/{id},GET,Functional,High,"Admin Token and
User ID From TC-USER-001",Authorization: Bearer <admin_token>,None,200,"success=true | data={id,email,name,address,phone,is_admin,created_at}",1. Login as admin | 2. Send GET with valid user ID | 3. Verify user details,Status code is 200 | Response is valid JSON | success is true | data has all user fields | Returned user ID matches requested,y
TestCase3: Users,TC-USER-005,US-USER-002,Verify get user by ID fails for non-existent user,/api/users/{id},GET,Negative,Medium,Admin logged in,Authorization: Bearer <admin_token>,None,404,"success=false | ""error"": ""User not found""",1. Login as admin | 2. Send GET with non-existent ID | 3. Verify 404 error,"Status code is 404 | Response is valid JSON | success is false | ""error"": ""User not found""",y
TestCase3: Users,TC-USER-006,US-USER-003,Verify admin can update user information,/api/users/{id},PUT,Functional,High,Admin logged in and user exists,Authorization: Bearer <admin_token>,"{""name"": ""Updated Name"", ""phone"": ""555-0101"", ""address"": ""123 Updated St""}",200,success=true | message='User updated successfully' | data={updated fields with updated_at},1. Login as admin | 2. Send PUT with updates | 3. Verify user updated,Status code is 200 | Response is valid JSON | success is true | message is 'User updated successfully' | data reflects updated values | updated_at timestamp present,y
TestCase3: Users,TC-USER-007,US-USER-003,Verify update user fails for non-existent user,/api/users/{id},PUT,Negative,Medium,Admin logged in,Authorization: Bearer <admin_token>,"{""name"": ""Test""}",404,"success=false | error=""User not found""",1. Login as admin | 2. Send PUT with non-existent ID | 3. Verify error,Status code is 404 | Response is valid JSON | success is false | error is 'User not found',y
TestCase3: Users,TC-USER-008,US-USER-004,Verify admin can delete user,/api/users/{id},DELETE,Functional,High,Admin logged in and user exists,Authorization: Bearer <admin_token>,None,200,"success=true | message='User deleted successfully' | data={id,email}",1. Login as admin | 2. Create test user | 3. Send DELETE | 4. Verify deleted | 5. Confirm GET returns 404,Status code is 200 | Response is valid JSON | success is true | message is 'User deleted successfully' | data has id and email | Subsequent GET returns 404,y
TestCase3: Users,TC-USER-009,US-USER-004,Verify user can delete user,/api/users/{id},DELETE,Security,High,Regular user logged in,Authorization: Bearer <user_token>,None,403,"{   ""error"": ""Admin privileges required"",
    ""success"": false",1. Login as regular user | 2. Send Delete request | 3. Verify access denied,Status code is 403 | Response is valid JSON | success is false | error indicates admin required,y
TestCase3: Users,TC-USER-010,US-USER-001,Verify delete users fails without authentication,/api/users/{id},DELETE,Security,High,No authentication,None,None,401,"""error"": ""Token is missing""",1. Send Delete  without token | 2. Verify auth error,Status code is 401 | Response is valid JSON | success is false | error indicates authentication required,y
TestCase3: Users,TC-USER-011,US-USER-004,Verify delete user fails for non-existent user,/api/users/{id},DELETE,Negative,Medium,Admin logged in,Authorization: Bearer <admin_token>,None,404,success=false | error='User not found',1. Login as admin | 2. Send DELETE with non-existent ID | 3. Verify error,Status code is 404 | Response is valid JSON | success is false | error is 'User not found',y
TestCase3: Users,TC-USER-012,US-USER-005,Verify admin can view user activity,/api/users/{id}/activity,GET,Functional,Medium,Admin logged in and user exists,Authorization: Bearer <admin_token>,None,200,"success=true | data={user_id,orders=[],reviews=[],total_orders,total_reviews,total_spent,cart_items}",1. Login as admin | 2. Send GET for user activity | 3. Verify activity data,Status code is 200 | Response is valid JSON | success is true | data has user_id/orders/reviews/total_orders/total_reviews/total_spent/cart_items | Numeric fields are numbers | Arrays are valid,y
TestCase3: Users,TC-USER-013,US-USER-004,Verify user can view user activity,/api/users/{id}/activity,GET,Security,High,Regular user logged in,Authorization: Bearer <user_token>,None,403,"{   ""error"": ""Admin privileges required"",
    ""success"": false",1. Login as regular user | 2. Send GET request | 3. Verify access denied,Status code is 403 | Response is valid JSON | success is false | error indicates admin required,y
TestCase3: Users,TC-USER-014,US-USER-001,Verify view user activity fails without authentication,/api/users/{id}/activity,GET,Security,High,No authentication,None,None,401,"""error"": ""Token is missing""",1. Send GET without token | 2. Verify auth error,Status code is 401 | Response is valid JSON | success is false | error indicates authentication required,y
TestCase4: Categories,TC-CAT-001,US-CAT-001,Verify admin can create category,/api/categories,POST,Functional,High,Admin logged in,Authorization: Bearer <admin_token>,"{""name"": ""TestCategory"", ""description"": ""Test Description""}",201,"success=true | message='Category created successfully' | data={id,name,description,created_at}",1. Login as admin | 2. Send POST with category data | 3. Verify created,Status code is 201 | Response is valid JSON | success is true | message is 'Category created successfully' | data has id/name/description/created_at | Name and description match input,y
TestCase4: Categories,TC-CAT-002,US-CAT-001,Verify create category fails without admin,/api/categories,POST,Security,High,Regular user logged in,Authorization: Bearer <user_token>,"{""name"": ""TestCategory"", ""description"": ""Test Category""}",403,"""error"": ""Admin privileges required"",
    ""success"": false",1. Login as regular user | 2. Send POST | 3. Verify access denied,Status code is 403 | Response is valid JSON | success is false | error indicates admin required,y
TestCase4: Categories,TC-CAT-003,US-CAT-002,Verify user can view all categories,/api/categories,GET,Functional,High,Categories exist,Content-Type: application/json,None,200,success=true | data=[categories] | count,1. Send GET to categories | 2. Verify categories returned,Status code is 200 | Response is valid JSON | success is true | data is array | count matches data length | Each category has id/name/description/created_at | At least one category exists | Save Last Category id,y
TestCase4: Categories,TC-CAT-004,US-CAT-003,Verify admin can delete category,/api/categories/{id},DELETE,Functional,High,Admin logged in and category exists from ategory id from TC-CAT-004,Authorization: Bearer <admin_token>,None,200,"success=true | message='Category deleted successfully' | data={id,name}",1. Login as admin | 2. Create test category | 3. Send DELETE | 4. Verify deleted,Status code is 200 | Response is valid JSON | success is true | message is 'Category deleted successfully' | data has id and name | Category removed from list,y
TestCase4: Categories,TC-CAT-005,US-CAT-003,Verify delete category fails for non-existent category,/api/categories/{id},DELETE,Negative,Medium,"Admin logged in
category id from TC-CAT-004",Authorization: Bearer <admin_token>,None,404,"""error"": ""Category not found"",
    ""success"": false",1. Login as admin | 2. Send DELETE with invalid ID | 3. Verify error,Status code is 404 | Response is valid JSON | success is false,y
TestCase4: Categories,TC-CAT-006,US-CAT-003,Verify user can delete category,/api/categories/{id},DELETE,Security,High,Regular user logged in,Authorization: Bearer <user_token>,None,403,"{   ""error"": ""Admin privileges required"",
    ""success"": false",1. Login as regular user | 2. Send Delete request | 3. Verify access denied,Status code is 403 | Response is valid JSON | success is false | error indicates admin required,y
TestCase5: Products,TC-PROD-001,US-PROD-001,Verify get all products with pagination,/api/products,GET,Functional,High,Products exist,Content-Type: application/json,None,200,"success=true | data=[products] | pagination={page,per_page,total,pages}",1. Send GET to products | 2. Verify products and pagination,Status code is 200 | Response is valid JSON | success is true | data is array | pagination has page/per_page/total/pages | Each product has id/name/description/price/category/stock/image_url/created_at | Products limited per page,y
TestCase5: Products,TC-PROD-002,US-PROD-001,Verify products pagination with page parameter,/api/products?page=2&per_page=5,GET,Functional,Medium,Products exist,Content-Type: application/json,None,200,success=true | data=[products] | pagination,1. Send GET with page params | 2. Verify pagination works,Status code is 200 | Response is valid JSON | pagination.page is 2 | data length <= 5 | pagination values correct,y
TestCase5: Products,TC-PROD-003,US-PROD-002,Verify filter products by category,/api/products?category=Electronics,GET,Functional,High,Products exist in category,Content-Type: application/json,None,200,success=true | data=[filtered products] | pagination,1. Send GET with category filter | 2. Verify filtered results,Status code is 200 | Response is valid JSON | All products have category='Electronics' | Pagination present,y
TestCase5: Products,TC-PROD-004,US-PROD-002,Verify filter products by price range,/api/products?min_price=10&max_price=100,GET,Functional,High,Products exist in range,Content-Type: application/json,None,200,success=true | data=[filtered products],1. Send GET with price filters | 2. Verify price range,Status code is 200 | Response is valid JSON | All products have price >= 10 and <= 100,y
TestCase5: Products,TC-PROD-005,US-PROD-002,Verify filter products with multiple criteria,/api/products?category=Electronics&min_price=50&max_price=500&search=laptop,GET,Functional,High,Matching products exist,Content-Type: application/json,None,200,success=true | data=[filtered products],1. Send GET with multiple filters | 2. Verify all filters applied,Status code is 200 | All products match category | All prices in range | Products contain search term,y
TestCase5: Products,TC-PROD-006,US-PROD-003,Verify admin can create product,/api/products,POST,Functional,High,Admin logged in,Authorization: Bearer <admin_token>,"  ""name"": ""new product1"",
    ""description"": ""new product description1"",
    ""price"": 29.99,
    ""category"": ""Electronics"",
    ""stock"": 20,
    ""image_url"": ""https://ci.suez.edu.eg/wp-content/uploads/2022/08/iti-logo.png""",201,"success=true | message='Product created successfully' | data={id,name,description,price,category,stock,image_url,created_at}",1. Login as admin | 2. Send POST with product data | 3. Verify created | 4. Save product ID,Status code is 201 | Response is valid JSON | success is true | message is 'Product created successfully' | data has all fields | All fields match input | save id as productId,y
TestCase5: Products,TC-PROD-007,US-PROD-003,Verify create product fails without required fields,/api/products,POST,Negative,Medium,Admin logged in,Authorization: Bearer <admin_token>,"{""name"": ""Test""}",400,"success=false |     ""error"": ""Missing required fields"",
    ""success"": false",1. Login as admin | 2. Send POST with incomplete data | 3. Verify error,Status code is 400 | Response is valid JSON | success is false | error indicates missing fields,y
TestCase5: Products,TC-PROD-008,US-PROD-003,Verify create product fails without admin,/api/products,POST,Security,High,Regular user logged in,Authorization: Bearer <user_token>,"    ""name"": ""new product1"",
    ""description"": ""new product description1"",
    ""price"": 29.99,
    ""category"": ""Electronics"",
    ""stock"": 20,
    ""image_url"": ""https://ci.suez.edu.eg/wp-content/uploads/2022/08/iti-logo.png""",403,"    ""error"": ""Admin privileges required"",
    ""success"": false",1. Login as user | 2. Send POST | 3. Verify access denied,Status code is 403 | Response is valid JSON | success is false,y
TestCase5: Products,TC-PROD-009,US-PROD-004,Verify admin can update product,/api/products/{id},PUT,Functional,High,Admin logged in and product exists,Authorization: Bearer <admin_token>,"{""description"": ""Updated Desc"", ""price"": 34.99, ""stock"": 75}",200,success=true | message='Product updated successfully' | data={updated product with updated_at},1. Login as admin | 2. Create test product | 3. Send PUT with updates | 4. Verify updated,Status code is 200 | Response is valid JSON | success is true | message is 'Product updated successfully' | data reflects updates | updated_at present,y
TestCase5: Products,TC-PROD-010,US-PROD-004,Verify update product fails for non-existent product,/api/products/{id},PUT,Negative,Medium,Admin logged in,Authorization: Bearer <admin_token>,"""description"": ""Updated description"",
    ""price"": 34.99,
    ""stock"": 75",404,"   ""error"": ""Product not found"",
    ""success"": false",1. Login as admin | 2. Send PUT with invalid ID | 3. Verify error,Status code is 404 | Response is valid JSON | success is false,y
TestCase5: Products,TC-PROD-011,US-PROD-005,Verify get product by ID,/api/products/{id},GET,Functional,High,Product exists,Content-Type: application/json,None,200,success=true | data={complete product},1. Send GET with valid product ID | 2. Verify product details,Status code is 200 | Response is valid JSON | success is true | data has complete product info | Product ID matches request,y
TestCase5: Products,TC-PROD-012,US-PROD-005,Verify get product fails for non-existent ID,/api/products/{id},GET,Negative,Medium,None,Content-Type: application/json,None,404,"    ""error"": ""Product not found"",
    ""success"": false",1. Send GET with invalid ID | 2. Verify 404,Status code is 404 | Response is valid JSON | success is false | error is 'Product not found',y
TestCase5: Products,TC-PROD-013,US-PROD-006,Verify admin can delete product,/api/products/{id},DELETE,Functional,High,Admin logged in and product exists,Authorization: Bearer <admin_token>,None,200,"success=true | message='Product deleted successfully' | data={id,name}",1. Login as admin | 2. Create test product | 3. Send DELETE | 4. Verify deleted,Status code is 200 | Response is valid JSON | success is true | message is 'Product deleted successfully' | data has id/name | Subsequent GET returns 404,y
TestCase5: Products,TC-PROD-014,US-PROD-006,Verify delete product fails for non-existent product,/api/products/{id},DELETE,Negative,Medium,Admin logged in,Authorization: Bearer <admin_token>,None,404,"    ""error"": ""Product not found"",
    ""success"": false",1. Login as admin | 2. Send DELETE with invalid ID | 3. Verify error,Status code is 404 | Response is valid JSON | success is false,y
TestCase5: Products,TC-PROD-015,US-PROD-007,Verify search products returns matching results,/api/products/search?q=laptop,GET,Functional,High,Products with search term exist,Content-Type: application/json,None,200,success=true | data=[matching products] | count,1. Send GET with search query | 2. Verify matching products,Status code is 200 | Response is valid JSON | success is true | data is array | Products contain 'laptop' in name or description,y
TestCase5: Products,TC-PROD-016,US-PROD-007,Verify search returns empty for no matches,/api/products/search?q=nonexistent123,GET,Functional,Medium,None,Content-Type: application/json,None,200,success=true | data=[] | count=0,1. Send GET with non-matching query | 2. Verify empty result,Status code is 200 | Response is valid JSON | success is true | data is empty array | count is 0,y
TestCase5: Products,TC-PROD-017,US-PROD-008,Verify get products by category,/api/products/category/{{categories}},GET,Functional,High,"Products in category exist, test all category unique names from TC-CAT-003",Content-Type: application/json,None,200,success=true | data=[products in category] | count,1. Send GET for specific category | 2. Verify filtered results,Status code is 200 | Response is valid JSON | success is true | data is array | All products have category='selected_category' | count matches array length,y
TestCase5: Products,TC-PROD-018,US-PROD-008,Verify get products by category returns empty for non-existent category,/api/products/category/NonExistent,GET,Functional,Medium,None,Content-Type: application/json,None,200,success=true | data=[] | count=0,1. Send GET for non-existent category | 2. Verify empty result,Status code is 200 | Response is valid JSON | data is empty array | count is 0,y
TestCase5: Products,TC-PROD-019,US-PROD-009,Verify admin can view low stock products,/api/inventory/low-stock?threshold=10,GET,Functional,High,Admin logged in and low stock products exist,Authorization: Bearer <admin_token>,None,200,success=true | data=[low stock products] | count | threshold=10,1. Login as admin | 2. Send GET with threshold | 3. Verify low stock products,Status code is 200 | Response is valid JSON | success is true | data is array | All products have stock <= 10 | threshold value is 10 | count matches array length,y
TestCase5: Products,TC-PROD-020,US-PROD-009,Verify low stock with custom threshold,/api/inventory/low-stock?threshold=5,GET,Functional,Medium,Admin logged in,Authorization: Bearer <admin_token>,None,200,"    ""count"": 0,
    ""data"": [],
    ""success"": true,
    ""threshold"": 5",1. Login as admin | 2. Send GET with threshold=5 | 3. Verify results,Status code is 200 | All products have stock <= 5 | threshold is 5,y
TestCase5: Products,TC-PROD-021,US-PROD-010,Verify admin can update product stock,/api/inventory/update-stock,PUT,Functional,High,Admin logged in and product exists,Authorization: Bearer <admin_token>,"{""product_id"": 4, ""stock"": 40}",200,"success=true | message='Stock updated successfully' | data={product_id,old_stock,new_stock}",1. Login as admin | 2. Send PUT with stock update | 3. Verify stock updated,Status code is 200 | Response is valid JSON | success is true | message is 'Stock updated successfully' | data has product_id/old_stock/new_stock | new_stock is 40,y
TestCase5: Products,TC-PROD-022,US-PROD-010,Verify update stock fails for non-existent product,/api/inventory/update-stock,PUT,Negative,Medium,Admin logged in,Authorization: Bearer <admin_token>,"{""product_id"": 99999, ""stock"": 10}",404," ""error"": ""Product not found"",
    ""success"": false",1. Login as admin | 2. Send PUT with invalid product_id | 3. Verify error,Status code is 404 | Response is valid JSON | success is false,y
TestCase5: Products,TC-PROD-023,US-PROD-011,Verify admin can bulk update products,/api/products/bulk-update,PUT,Functional,High,Admin logged in and products exist,Authorization: Bearer <admin_token>,"{""updates"": [{""product_id"": 1, ""price"": 899.99, ""stock"": 75}, {""product_id"": 2, ""price"": 24.99, ""stock"": 200}]}",200,"success=true | ""message"": ""2 products updated successfully""| updated_count=2",1. Login as admin | 2. Send PUT with multiple updates | 3. Verify all updated,Status code is 200 | Response is valid JSON | success is true | message contains '2 products updated' | updated_count is 2 | Each product reflects updates,y
TestCase5: Products,TC-PROD-024,US-PROD-011,Verify bulk update with partial failures,/api/products/bulk-update,PUT,Functional,Medium,Admin logged in,Authorization: Bearer <admin_token>,"{""updates"": [{""product_id"": 1, ""price"": 50}, {""product_id"": 99999, ""price"": 10}]}",200,"""message"": ""1 products updated successfully"",
    ""success"": true,
    ""updated_count"": 1",1. Login as admin | 2. Send PUT with valid and invalid IDs | 3. Verify partial success,Status code is 200 | Response is valid JSON | updated_count reflects successful updates,y
TestCase5: Products,TC-PROD-025,US-PROD-012,Verify admin can export all products,/api/export/products,GET,Functional,High,Admin logged in and products exist,Authorization: Bearer <admin_token>,None,200,"success=true | data={products=[],total_products,export_date}",1. Login as admin | 2. Send GET to export | 3. Verify all data returned,Status code is 200 | Response is valid JSON | success is true | data.products is array | data.total_products matches array length | data.export_date is timestamp | All product fields included,y
TestCase5: Products,TC-PROD-026,US-PROD-013,Verify user can like a product,/api/products/likes,POST,Functional,High,User logged in and product exists,Authorization: Bearer <user_token>,"{""product_id"": 1}",201,"success=true | message='Product liked successfully' | data={id,product_id,user_id,created_at}",1. Login as user | 2. Send POST to like product | 3. Verify like created,Status code is 201 | Response is valid JSON | success is true | message is 'Product liked successfully' | data has id/product_id/user_id/created_at | product_id and user_id match,y
TestCase5: Products,TC-PROD-027,US-PROD-013,Verify user cannot like same product twice,/api/products/likes,POST,Negative,Medium,User logged in and product already liked,Authorization: Bearer <user_token>,"{""product_id"": 1}",400,success=false | error='You have already liked this product' | already_liked=true,1. Login as user | 2. Like product | 3. Try liking again | 4. Verify error,Status code is 400 | Response is valid JSON | success is false | error is 'You have already liked this product' | already_liked is true,y
TestCase5: Products,TC-PROD-028,US-PROD-013,Verify like fails for non-existent product,/api/products/likes,POST,Negative,Medium,User logged in,Authorization: Bearer <user_token>,"{""product_id"": 99999}",404,"    ""error"": ""Product not found"",
    ""success"": false",1. Login as user | 2. Send POST with invalid product_id | 3. Verify error,Status code is 404 | Response is valid JSON | success is false,y
TestCase5: Products,TC-PROD-029,US-PROD-014,Verify get product likes count,/api/products/{id}/likes,GET,Functional,Medium,Product exists with likes,Content-Type: application/json,None,200,success=true | data=[like objects] | count,1. Send GET for product likes | 2. Verify likes data,Status code is 200 | Response is valid JSON | success is true | data is array | count matches array length | Each like has id/product_id/user_id/created_at,y
TestCase5: Products,TC-PROD-030,US-PROD-015,Verify user can check like status,/api/products/{id}/likes/check,GET,Functional,Medium,User logged in and product exists,Authorization: Bearer <user_token>,None,200,success=true | liked=true/false | data={like object or null},1. Login as user | 2. Send GET to check like status | 3. Verify status,Status code is 200 | Response is valid JSON | success is true | liked is boolean | If liked=true data has like object | If liked=false data is null,y
TestCase5: Products,TC-PROD-031,US-PROD-016,Verify user can unlike product,/api/products/likes/{like_id},DELETE,Functional,High,User logged in and product is liked,Authorization: Bearer <user_token>,None,200,success=true | message='Product unliked successfully' | data={like object},1. Login as user | 2. Like product | 3. Send DELETE to unlike | 4. Verify removed,Status code is 200 | Response is valid JSON | success is true | message is 'Product unliked successfully' | data has like object | Subsequent check shows liked=false,y
TestCase5: Products,TC-PROD-032,US-PROD-016,Verify unlike fails for non-existent like,/api/products/likes/{like_id},DELETE,Negative,Medium,User logged in,Authorization: Bearer <user_token>,None,404,success=false | error='Like not found',1. Login as user | 2. Send DELETE with invalid like_id | 3. Verify error,Status code is 404 | Response is valid JSON | success is false | error is 'Like not found',y
TestCase5: Products,TC-PROD-033,US-PROD-016,Verify user cannot unlike another user's like,/api/products/likes/{like_id},DELETE,Security,High,user_id=1 for USER_2,Authorization: Bearer <user1_token>,None,403,"    ""error"": ""Unauthorized"",
    ""success"": false",1. User1 likes product | 2. User2 tries to unlike | 3. Verify access denied,Status code is 403 | Response is valid JSON | success is false | Like remains,y
TestCase6: Cart,TC-CART-001,US-CART-001,Verify user can add item to cart,/api/cart/items,POST,Functional,High,User logged in and product exists,Authorization: Bearer <user_token>,"{""product_id"": 4, ""quantity"": 2}",201,success=true | message='Item added to cart successfully',1. Login as user | 2. Clear cart | 3. Send POST to add item | 4. Verify added,Status code is 201 | Response is valid JSON | success is true | message is 'Item added to cart successfully' | Subsequent GET shows item with quantity=2,y
TestCase6: Cart,TC-CART-002,US-CART-001,Verify add to cart fails for invalid product,/api/cart/items,POST,Negative,Medium,User logged in,Authorization: Bearer <user_token>,"{""product_id"": 99999, ""quantity"": 1}",404,success=false | error='Product not found',1. Login as user | 2. Send POST with invalid product_id | 3. Verify error,Status code is 404 | Response is valid JSON | success is false | error is 'Product not found',y
TestCase6: Cart,TC-CART-003,US-CART-001,Verify add to cart fails with invalid quantity,/api/cart/items,POST,Negative,Medium,User logged in and product exists,Authorization: Bearer <user_token>,"{""product_id"": 1, ""quantity"": 0}",400,"""error"": ""Invalid quantity: must be a positive integer"",
    ""success"": false",1. Login as user | 2. Send POST with quantity=0 | 3. Verify validation error,Status code is 400 | Response is valid JSON | success is false | error indicates invalid quantity,y
TestCase6: Cart,TC-CART-004,US-CART-002,Verify user can view cart contents,/api/cart,GET,Functional,High,User logged in with items in cart,Authorization: Bearer <user_token>,None,200,success=true | data=[cart items] | count | total,1. Login as user | 2. Add items to cart | 3. Send GET | 4. Verify cart,Status code is 200 | Response is valid JSON | success is true | data is array | count matches data length | total equals sum of item_total | Each item has id/product_id/quantity/item_total/product object/created_at/updated_at,y
TestCase6: Cart,TC-CART-005,US-CART-003,Verify user can update cart item quantity,/api/cart/items/{id},PUT,Functional,High,User logged in with item in cart,Authorization: Bearer <user_token>,"{""quantity"": 3}",200,success=true | message='Cart item updated successfully' | data={updated cart item},1. Login as user | 2. Add item to cart | 3. Send PUT to update quantity | 4. Verify updated,Status code is 200 | Response is valid JSON | success is true | message is 'Cart item updated successfully' | data.quantity is 3 | updated_at is recent,y
TestCase6: Cart,TC-CART-006,US-CART-003,Verify update cart item fails for non-existent item,/api/cart/items/{id},PUT,Negative,Medium,User logged in,Authorization: Bearer <user_token>,"{""quantity"": 2}",404,success=false | error='Cart item not found',1. Login as user | 2. Send PUT with invalid cart item ID | 3. Verify error,Status code is 404 | Response is valid JSON | success is false | error is 'Cart item not found',y
